experiment_id,run_id,model,target,seed,checkpoint_path,size_bytes,sha256,registry_status,classification,predictions_exist,history_exists,config_exists,result_json_exists,prediction_audit_passes,prediction_audit_note,decision,reason
lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-tb4-lr0.0001_s4,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-tb4-lr0.0001_s4,RETFound-CFP,ddr,4,outputs\checkpoints\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-tb4-lr0.0001_s4\best_qwk.pt,1616531031,d76e34229949b3e4c4bc4063c5e2bd68853dc4dc5a92d03b45097f793ce6a705,COMPLETE,authoritative,True,True,True,True,True,qwk matches (0.702073),DELETE,reproducible from retained predictions
lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-tb4-lr0.0001_s42,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-tb4-lr0.0001_s42,RETFound-CFP,ddr,42,outputs\checkpoints\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-tb4-lr0.0001_s42\best_qwk.pt,1616531031,17ae899551188565c52e58149d1cfca5b857a4194e3daa0ec6002e43c13cc143,COMPLETE,authoritative,True,True,True,True,True,qwk matches (0.686350),RETAIN,matched representative pair for this target
lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s1,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s1,ImageNet-MAE,idrid,1,outputs\checkpoints\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s1\best_qwk.pt,1616531095,2826717621587916c991be207146b4b09eb1cbb4516ce3c3b9d3662a91c91c47,COMPLETE,authoritative,True,True,True,True,True,qwk matches (0.733983),DELETE,reproducible from retained predictions
lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s2,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s2,ImageNet-MAE,idrid,2,outputs\checkpoints\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s2\best_qwk.pt,1616531031,3913228a92ae5023cf68b9e6bd302c700766252efeae9430baae928f1017d0d0,COMPLETE,authoritative,True,True,True,True,True,qwk matches (0.744088),DELETE,reproducible from retained predictions
lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s3,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s3,ImageNet-MAE,idrid,3,outputs\checkpoints\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s3\best_qwk.pt,1616531607,021f7db373760ee30fed6daeba05ffe5169f58c9b019c79bbe3279123349b6af,COMPLETE,corrupted,True,True,True,True,True,qwk matches (0.730166),DELETE,"invalid execution; metadata retained, replacement pending"
lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s4,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s4,ImageNet-MAE,idrid,4,outputs\checkpoints\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s4\best_qwk.pt,1616531031,565da70ad57405b6f85b14c15c32c5c6c3e1483e7be2ff8fcbfcd069fe1f736c,COMPLETE,authoritative,True,True,True,True,True,qwk matches (0.710530),DELETE,reproducible from retained predictions
lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s42,lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s42,ImageNet-MAE,idrid,42,outputs\checkpoints\lodo_aptos-ddr-eyepacs__idrid_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s42\best_qwk.pt,1616531095,69742391d5d6d554ad6673d34460cb6c32ef07e1ec6e86a2ab74aaa033d62dff,COMPLETE,authoritative,True,True,True,True,True,qwk matches (0.707382),RETAIN,matched representative pair for this target
lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_erm-b16-tb4-lr0.0001_s1,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_erm-b16-tb4-lr0.0001_s1,RETFound-CFP,idrid,1,outputs\checkpoints\lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_erm-b16-tb4-lr0.0001_s1\best_qwk.pt,1616531095,a5e54ca5e27163e9c9f249d1b82f102eefcc8338bbb5bd44b14742737c3bfe0a,COMPLETE,authoritative,True,True,True,True,True,qwk matches (0.771716),DELETE,reproducible from retained predictions
lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_erm-b16-tb4-lr0.0001_s2,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_erm-b16-tb4-lr0.0001_s2,RETFound-CFP,idrid,2,outputs\checkpoints\lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_erm-b16-tb4-lr0.0001_s2\best_qwk.pt,1616531031,108b76465e51984a7aeae1f6439c91b2de79e92982085aa6da9f00d946bd91bf,COMPLETE,authoritative,True,True,True,True,True,qwk matches (0.767169),DELETE,reproducible from retained predictions
lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_erm-b16-tb4-lr0.0001_s3,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_erm-b16-tb4-lr0.0001_s3,RETFound-CFP,idrid,3,outputs\checkpoints\lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_erm-b16-tb4-lr0.0001_s3\best_qwk.pt,1616531031,a8ec1b926fdbf75d86d556d4ba939e60ff709e87e1ee497784c04c6aca47fde2,COMPLETE,authoritative,True,True,True,True,True,qwk matches (0.761797),DELETE,reproducible from retained predictions
lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_erm-b16-tb4-lr0.0001_s4,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_erm-b16-tb4-lr0.0001_s4,RETFound-CFP,idrid,4,outputs\checkpoints\lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_erm-b16-tb4-lr0.0001_s4\best_qwk.pt,1616531031,fa1e6a0af12ee92929193c87296ff1610430359906098389beb15d1d1293fe71,COMPLETE,authoritative,True,True,True,True,True,qwk matches (0.722880),DELETE,reproducible from retained predictions
lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_erm-b16-tb4-lr0.0001_s42,lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_erm-b16-tb4-lr0.0001_s42,RETFound-CFP,idrid,42,outputs\checkpoints\lodo_aptos-ddr-eyepacs__idrid_retfound-cfp_erm-b16-tb4-lr0.0001_s42\best_qwk.pt,1616531095,2cfb34fdbf55265be8c5332e4afa66bc457ce068e40e5991e716288aeb600055,COMPLETE,authoritative,True,True,True,True,True,qwk matches (0.814199),RETAIN,matched representative pair for this target
