target,arm,seed,image_size,batch_size,experiment_id,n_test,ece,ece_scaled,temperature,qwk,f1_macro,severe_error_rate
eyepacs,224/b16,1,224,16,lodo_aptos-ddr-idrid__eyepacs_densenet121_erm-b16_s1,35108,0.26071422462129523,0.17981052778372042,1.5586,0.4280896745825422,0.3831065002477392,0.22168736470320155
eyepacs,224/b16,2,224,16,lodo_aptos-ddr-idrid__eyepacs_densenet121_erm-b16_s2,35108,0.20430543797273792,0.15085207521991742,1.3015,0.40881520443896247,0.3669863479542374,0.2439899737951464
eyepacs,224/b16,42,224,16,lodo_aptos-ddr-idrid__eyepacs_densenet121_erm-b16_s42,35108,0.24942851097743085,0.15391203419347393,1.7283,0.43809194178494404,0.37988638269260894,0.2251623561581406
eyepacs,224/b32,1,224,32,lodo_aptos-ddr-idrid__eyepacs_densenet121_erm-b32_s1,35108,0.2889596377745045,0.17565134884369443,1.8626,0.4128392419538164,0.3778419878161185,0.2362139683263074
eyepacs,224/b32,2,224,32,lodo_aptos-ddr-idrid__eyepacs_densenet121_erm-b32_s2,35108,0.2760148986841275,0.1631115201174699,1.916,0.4236528449876562,0.38157769317085033,0.24062891648627094
eyepacs,224/b32,42,224,32,lodo_aptos-ddr-idrid__eyepacs_densenet121_erm-b32_s42,35108,0.2887057354216412,0.18006911819431518,1.8472,0.40771282722895696,0.3757747621954475,0.2453571835479093
eyepacs,512/b16,1,512,16,lodo_aptos-ddr-idrid__eyepacs_densenet121_erm-b16-r512_s1,35108,0.2400870783186806,0.16472749039022724,1.5909,0.49490060651520207,0.41605136728831854,0.2015779879229805
eyepacs,512/b16,2,512,16,lodo_aptos-ddr-idrid__eyepacs_densenet121_erm-b16-r512_s2,35108,0.2426819286334755,0.15754511987315767,1.7092,0.5121885236981156,0.42619704541007575,0.1762846074968668
eyepacs,512/b16,42,512,16,lodo_aptos-ddr-idrid__eyepacs_densenet121_erm-b16-r512_s42,35108,0.21894808213996958,0.13458366461329324,1.6751,0.527339598765417,0.4340403431410792,0.16876495385667084
idrid,224/b16,1,224,16,lodo_aptos-ddr-eyepacs__idrid_densenet121_erm-b16_s1,507,0.17640786692940974,0.09038396836532937,1.4763,0.7972119088851292,0.5288117182271913,0.07889546351084813
idrid,224/b16,2,224,16,lodo_aptos-ddr-eyepacs__idrid_densenet121_erm-b16_s2,507,0.20664319966201478,0.11921559146129615,1.4969,0.810015562809948,0.47796885342421086,0.0670611439842209
idrid,224/b16,42,224,16,lodo_aptos-ddr-eyepacs__idrid_densenet121_erm-b16_s42,507,0.23834455918513345,0.1527174786252036,1.4424,0.7545316883393367,0.45377705269620294,0.09861932938856016
idrid,224/b32,1,224,32,lodo_aptos-ddr-eyepacs__idrid_densenet121_erm-b32_s1,507,0.24569427255812953,0.13970184959537763,1.6072,0.7131546584545334,0.45627214323577087,0.1242603550295858
idrid,224/b32,2,224,32,lodo_aptos-ddr-eyepacs__idrid_densenet121_erm-b32_s2,507,0.226641341191542,0.11945775456680516,1.6186,0.7565765396741193,0.4751771749496244,0.11242603550295859
idrid,224/b32,42,224,32,lodo_aptos-ddr-eyepacs__idrid_densenet121_erm-b32_s42,507,0.2158861910332825,0.10469686122769764,1.6345,0.7542569817218183,0.4898948035878741,0.11637080867850098
idrid,512/b16,1,512,16,lodo_aptos-ddr-eyepacs__idrid_densenet121_erm-b16-r512_s1,507,0.14325901072406205,0.07819291814023956,1.4335,0.8307068615454949,0.5660623574538669,0.0611439842209073
idrid,512/b16,2,512,16,lodo_aptos-ddr-eyepacs__idrid_densenet121_erm-b16-r512_s2,507,0.13262651358130415,0.07202850714721877,1.5155,0.8344793124125525,0.5691837108286846,0.055226824457593686
idrid,512/b16,42,512,16,lodo_aptos-ddr-eyepacs__idrid_densenet121_erm-b16-r512_s42,507,0.15378855342225445,0.08695447092495805,1.4097,0.8227760036109292,0.5393766638268052,0.0670611439842209
