target,n_seeds,target_qwk_mean,target_qwk_sd,target_f1_mean,target_f1_sd,target_ece_mean,target_ece_sd,target_ece_scaled_mean,target_ece_scaled_sd,target_severe_mean,target_severe_sd
ddr,3,0.7383170544314274,0.005512340792173334,0.5144199004366691,0.005770485488399127,0.12962232587169986,0.008260092256340643,0.04720185688557323,0.00684359007214249,0.15982506975745864,0.00612795029030872
aptos,3,0.8590415399785784,0.005352701548457566,0.49434937950073293,0.0089774944272024,0.1239322452359208,0.013667617768156294,0.03972116988139823,0.007622654685660636,0.06278538812785384,0.005897254086692858
idrid,3,0.7413293932834902,0.02442758377910206,0.47378137392442304,0.016854732797190495,0.22940726826098468,0.015095303755244139,0.12128548846329344,0.017573922756534247,0.1176857330703484,0.006025740558784846
eyepacs,3,0.41473497139014315,0.008137345028246562,0.3783981477274721,0.002941171086756086,0.28456009062675774,0.00740144212998332,0.17294399571849314,0.008797008232482147,0.24073335612016256,0.00457250225532791
