target,n_seeds,control,retfound_source,control_source,retfound_target,control_target,delta_target_qwk,delta_sd,delta_over_sd,ci_lower,ci_upper,p_value,retfound_drop,control_drop,retfound_severe,control_severe,verdict
ddr,10,vit_large_mae_in1k,0.6001224587681869,0.5953049003162266,0.5129600982498004,0.5755506128044837,0.06259051455468327,0.0254533230932932,2.459031157749909,0.033134249437469364,0.06235297618381962,0.0,0.08716236051838655,0.019754287511742907,0.3183032839665164,0.2868882807469414,ImageNet features better
aptos,10,vit_large_mae_in1k,0.6342767351574207,0.6494737465103946,0.48291273956447645,0.5963037811810484,0.1133910416165719,0.054724962480989056,2.0720167995722774,0.17161840176030022,0.2123676748688148,0.0,0.15136399559294422,0.05316996532934615,0.42862442922374433,0.2997146118721461,ImageNet features better
idrid,10,vit_large_mae_in1k,0.6471887135522689,0.6590919577687986,0.6792095924404611,0.636331554100234,-0.0428780383402272,0.034395206604805696,1.246628311697255,-0.06646931531176839,0.03546303206172694,0.5456,-0.03202087888819216,0.022760403668564577,0.1970414201183432,0.19802761341222877,within seed noise
