target,n_seeds,n_test,interaction,ci_lower,ci_upper,seed_sd,sign_agreement,t_stat,p_ttest,p_signflip,p_holm
ddr,5,12424,-0.04849717379174938,-0.08484816205001773,-0.014168144974120923,0.04022613728743627,5,-2.6958337197552042,0.05432837170593235,0.0625,0.1086567434118647
aptos,5,3504,-0.10026549623443233,-0.151950939108544,-0.0484697178301734,0.06136363177998833,5,-3.6536374864803105,0.021701701018580804,0.0625,0.06510510305574241
idrid,5,507,0.0004471509541644547,-0.07587830330067355,0.07780415633590856,0.061890164767668336,3,0.01615539292016789,0.9878841140935788,1.0,0.9878841140935788
