protocol,target,n_seeds,n_test,delta_qwk,ci_lower,ci_upper,seed_sd,sign_agreement,exceeds_seed_sd,t_stat,p_ttest,p_signflip,min_attainable_p,p_holm,ci_excludes_zero,verdict
frozen,ddr,10,12424,0.06259051455468326,0.043977212185134736,0.08169269204237914,0.025453323093293186,10,True,7.776139295810525,2.7748377920971484e-05,0.001953125,0.001953125,0.0001664902675258289,True,ImageNet init better
frozen,aptos,10,3504,0.1133910416165719,0.07893790523957529,0.15083799835797518,0.05472496248098906,10,True,6.552292436780994,0.0001048925760636252,0.001953125,0.001953125,0.000524462880318126,True,ImageNet init better
frozen,idrid,10,507,-0.0428780383402272,-0.09043790121812861,0.004381549412003431,0.034395206604805696,9,True,-3.9421848606136525,0.0033946938832987174,0.005859375,0.001953125,0.01357877553319487,False,seed-level only; crossed interval spans zero
partial_finetune_4,ddr,5,12424,0.021676535420049013,0.0008131695861564401,0.04413849547504803,0.02638709739026044,3,False,1.836890431677493,0.14010285336956038,0.25,0.0625,0.28020570673912076,True,no difference after correction
partial_finetune_4,aptos,5,3504,0.007250402633235131,-0.010418531473760416,0.0236230286265014,0.017259189186328332,4,False,0.9393484813875086,0.40073580499007805,0.375,0.0625,0.40073580499007805,False,no difference after correction
partial_finetune_4,idrid,5,507,-0.042122135086258464,-0.08680123138860554,0.005672062177851048,0.037368788404018534,5,True,-2.5204980261060372,0.06532210308411382,0.0625,0.0625,0.19596630925234146,False,no difference after correction
