method,recall_grade_0,recall_grade_1,recall_grade_2,recall_grade_3,recall_grade_4,n_grades_predicted
erm,0.38922155688622756,0.6521739130434783,0.7696969696969697,0.24175824175824176,0.5737704918032787,5
ordinal,0.5149700598802395,0.043478260869565216,0.9030303030303031,0.01098901098901099,0.7049180327868853,5
deep_coral,0.5029940119760479,0.43478260869565216,0.7878787878787878,0.06593406593406594,0.5081967213114754,5
mixstyle,0.40119760479041916,0.6086956521739131,0.806060606060606,0.06593406593406594,0.5573770491803278,5
mixstyle_ordinal,0.5389221556886228,0.0,0.9030303030303031,0.01098901098901099,0.6557377049180327,5
deep_coral_ordinal,0.592814371257485,0.0,0.8848484848484849,0.01098901098901099,0.6721311475409836,5
