protocol,imagenet_mean,imagenet_sd,retfound_mean,retfound_sd,delta_mean,delta_sd,ci_lower,ci_upper,p_ttest,p_signflip,sign_agreement,seed42,seed1,seed2,seed3,seed4
frozen,0.5871567136029365,0.056401375451707404,0.47964081473526904,0.01672806821026336,0.10751589886766746,0.055125616887632636,0.06229075137726637,0.15361344743684868,0.012050968224648233,0.0625,5,0.19178856795518984,0.06555958915111515,0.05553711052348409,0.1288492975163975,0.09584492919215071
partial,0.8333583773658946,0.016913691870293773,0.8261079747326592,0.008282816357682592,0.007250402633235131,0.017259189186328336,-0.010724583717430016,0.023391751779997593,0.400735804990078,0.375,4,0.015205011720171524,0.005900946310633204,0.02559031070266027,-0.020696967837589675,0.010252712270300335
full,0.8123285190281779,0.01703699070379438,0.8040209298790735,0.012119992171517645,0.008307589149104233,0.017522593278696923,-0.009462680208489324,0.025798070587961717,0.3488527161084221,0.3125,4,-0.014604847939653998,0.018023883929391027,0.031545185751444715,0.00025555492289108805,0.006318169081448333
