domain,n_test,n_seeds,delta_frozen,delta_full,interaction,interaction_seed_SD,crossed_CI_low,crossed_CI_high,paired_t_p,Holm_p,sign_flip_p,min_attainable_sign_flip_p,sign_agreement,inference_status,seed42,seed1,seed2,seed3,seed4
DDR,12424,5,0.0701737092117984,-0.04391244423478653,-0.11408615344658493,0.049262242418405856,-0.1548486033548663,-0.07276095560932473,0.006613156501803616,0.013226313003607233,0.0625,0.0625,5/5,statistically supported under the study's inferential framework,-0.0688376796952217,-0.16963742649961777,-0.12007691157409006,-0.05900816652292018,-0.15287058294107492
APTOS,3504,5,0.10751589886766746,0.008307589149104233,-0.09920830971856323,0.07206498052797251,-0.15946069511895627,-0.039666471891462274,0.03699329178278695,0.03699329178278695,0.0625,0.0625,5/5,statistically supported under the study's inferential framework,-0.20639341589484383,-0.04753570522172412,-0.023991924772039375,-0.12859374259350642,-0.08952676011070237
