target,n_seeds,anchor_seed,retfound_source,control_source,retfound_target,retfound_sd,control_target,control_sd,delta_qwk,delta_sd,delta_over_sd,seeds_agreeing,ci_lower,ci_upper,p_value,retfound_drop,control_drop,retfound_severe,control_severe,verdict
ddr,5,42,0.7075508992412685,0.702853588207123,0.6966145348541412,0.015686429172339676,0.71829107027419,0.013566468196733053,0.021676535420049013,0.02638709739026044,0.8214823744899615,3,0.03633713681335991,0.05634388440416583,0.0,0.010936364387127306,-0.015437482067067076,0.2066001287830006,0.19059884095299412,within seed noise
aptos,5,42,0.761433638054112,0.750644706579046,0.8261079747326594,0.008282816357682592,0.8333583773658946,0.016913691870293773,0.007250402633235131,0.017259189186328332,0.42008941178873305,4,0.0015739677520598151,0.02929973416903427,0.0304,-0.06467433667854738,-0.08271367078684855,0.09063926940639269,0.08744292237442922,within seed noise
idrid,3,42,0.7671127826383293,0.7585750389142388,0.7843612946453052,0.025939934437004257,0.7284841336957957,0.018960572894161025,-0.05587716094950964,0.04471927686927188,1.2495094925809214,3,-0.15013632579585662,-0.06049264245249038,0.0,-0.01724851200697597,0.030090905218443154,0.08612754766600916,0.13675213675213674,RETFound better
