metric,imagenet_mean,imagenet_sd,retfound_mean,retfound_sd,delta_mean,delta_sd,p_ttest,p_signflip,sign_agreement,primary
qwk,0.8123285190281779,0.01703699070379438,0.8040209298790735,0.012119992171517645,0.008307589149104233,0.017522593278696923,0.3488527161084221,0.3125,4,True
f1_macro,0.48575125162912947,0.008789141521881068,0.47134608652476845,0.014589710952865938,0.014405165104361073,0.02324804604217407,0.23813869043614136,0.25,4,False
balanced_accuracy,0.5056940397455979,0.009573112757651455,0.5032949752495717,0.009988161833949172,0.002399064496026304,0.018590391610175994,0.787252957034475,0.75,3,False
severe_error_rate,0.09726027397260274,0.01470150563537196,0.11027397260273972,0.00771762529980139,-0.013013698630136988,0.014642107612620076,0.11780221883255916,0.125,4,False
mae_grade,0.39406392694063924,0.025196232369600464,0.42642694063926945,0.02701210313989113,-0.032363013698630115,0.04445308303004326,0.17887289534747752,0.1875,4,False
within_1_grade,0.9027397260273972,0.014701505635371965,0.8897260273972603,0.007717625299801399,0.013013698630136994,0.014642107612620074,0.11780221883255904,0.125,4,False
auroc_macro,0.8048662132964477,0.005276375345481456,0.7807756256625757,0.015312464479853996,0.024090587633872017,0.017876075754781964,0.03941731744657018,0.125,4,False
ece,0.06277643867623224,0.005664868106752176,0.07540440236550314,0.007539655846350957,-0.012627963689270915,0.008034612591828342,0.024573603197640192,0.0625,5,False
nll,0.9838304287666899,0.030761419266168138,1.0162857465484907,0.06665206002049502,-0.032455317781800594,0.09365664937850206,0.4816696744470598,0.5,4,False
