domain,protocol,arm,n_seeds,n,referable_prevalence,referable_threshold,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd,precision_ppv_mean,precision_ppv_sd,f1_mean,f1_sd,auroc_mean,auroc_sd
DDR,frozen,ImageNet-MAE,5,12424,0.45283322601416615,2,0.5252044081052258,0.027911640362811276,0.9330097087378642,0.015050707645597976,0.8673624349161351,0.023259515444675836,0.6536682768441937,0.020021849421783897,0.828379522761708,0.012498490056980888
DDR,frozen,RETFound,5,12424,0.45283322601416615,2,0.43515819409882683,0.01280784250687819,0.9353633421594587,0.00610925441714262,0.8480788083425352,0.008848206834235128,0.5750306310753439,0.009545477411670812,0.7776397190072947,0.004295500885345735
DDR,full,ImageNet-MAE,5,12424,0.45283322601416615,2,0.6207963028794882,0.049431752303371775,0.9297440423654015,0.012448870068353393,0.8788264894736286,0.02680852408174936,0.7271611735949339,0.042905592107700265,0.8436005832626584,0.020163433174480078
DDR,full,RETFound,5,12424,0.45283322601416615,2,0.6194098826875222,0.03562434298277521,0.9393056781406296,0.015568725240814192,0.8951958474151137,0.019715703482014083,0.7313666781697334,0.02085377316477119,0.8431702220608788,0.01362613668101347
APTOS,frozen,ImageNet-MAE,5,3504,0.3909817351598174,2,0.9797080291970802,0.0055204877083763326,0.48828491096532334,0.08168567925846959,0.5537245415103986,0.04070869133213274,0.7068407006635431,0.03284936630955208,0.9431680337120927,0.007964493915981885
APTOS,frozen,RETFound,5,3504,0.3909817351598174,2,0.9802919708029197,0.005907450385488554,0.3258669165885661,0.026744498865067995,0.48297478092159485,0.010629990565821418,0.647079625129661,0.010325103598038288,0.8948946839149261,0.01589223335861292
APTOS,full,ImageNet-MAE,5,3504,0.3909817351598174,2,0.9767883211678832,0.0015824440429692173,0.7955014058106842,0.02345968151824311,0.754582015163137,0.021370691304543745,0.8512814561550824,0.013109012120888277,0.9653797741125606,0.0020507737702399253
APTOS,full,RETFound,5,3504,0.3909817351598174,2,0.9767883211678832,0.004540826573721417,0.7772258669165886,0.013974289337362077,0.7380290913687695,0.012016411229999203,0.8407382489934292,0.007881989124626284,0.955639387326497,0.0065085607994029996
