contrast,later,earlier,mean,seed_sd,ci_lower,ci_upper,p_ttest,p_signflip,sign_agreement,seed42,seed1,seed2,seed3,seed4,p_holm
D_partial - D_frozen,partial,frozen,-0.04849717379174938,0.04022613728743627,-0.08338819831012033,-0.015251136937749805,0.05432837170593235,0.0625,5,-0.0013555438420901345,-0.05526618839458031,-0.01571213542673744,-0.07001718657815093,-0.1001348147171881,0.08434602562162966
D_full - D_partial,full,partial,-0.06558897965483554,0.049797875901474276,-0.10305538998015565,-0.022939940606344963,0.04217301281081483,0.125,4,-0.06748213585313156,-0.11437123810503746,-0.10436477614735262,0.011009020055230745,-0.052735768223886814,0.08434602562162966
