target,n_seeds,retfound_source,control_source,retfound_target,control_target,delta_target_qwk,delta_sd,delta_over_sd,ci_lower,ci_upper,p_value,retfound_drop,control_drop,retfound_severe,control_severe,verdict
ddr,3,0.5986423773306023,0.5227904791344077,0.5142610261059078,0.5607497821562072,0.04648875605029923,0.011320316326663712,4.106665812933184,0.04460759518385617,0.07501991614006619,0.0,0.08438135122469448,-0.037959303021799506,0.31951599055591323,0.30406203047864344,ImageNet features better
aptos,3,0.6343188572701738,0.5865912177276746,0.48013228928631463,0.5170830432123674,0.03695075392605283,0.0703785688530386,0.5250284927391995,0.029543366433172846,0.08592606341925867,0.0,0.15418656798385916,0.06950817451530722,0.44311263318112637,0.30983637747336373,within seed noise
idrid,3,0.6489592866217563,0.6020715575681036,0.6826649295139763,0.7032842590462565,0.020619329532280333,0.026224835943828857,0.7862519932038853,-0.01294386278999718,0.08895786142293222,0.1376,-0.03370564289222,-0.10121270147815287,0.19197896120973043,0.17554240631163706,within seed noise
