method,probe_accuracy,chance,lift,silhouette_by_domain,silhouette_by_grade,centroid_over_spread[ddr|aptos]
erm,0.9809591590259292,0.8454215775158658,0.8768208352234601,0.08521289378404617,0.04146524891257286,0.448294499870853
ordinal,0.9718944099378882,0.8454215775158658,0.818179085991148,0.07212802022695541,0.011959224008023739,0.4053822621727051
deep_coral,0.9809597752144336,0.8454215775158658,0.8768248214751919,0.024725833907723427,0.06217878311872482,0.4044623713251673
mixstyle,0.9759711130829144,0.8454215775158658,0.8445521274513466,0.06056492030620575,0.057956043630838394,0.38823474635191446
mixstyle_ordinal,0.9700809671694764,0.8454215775158658,0.8064475471432994,0.07638397812843323,0.01576196774840355,0.35713679927944864
deep_coral_ordinal,0.9773304249235926,0.8454215775158658,0.8533457987725667,0.03161446750164032,0.030394498258829117,0.31805819405453445
