method,test_qwk_mean,test_qwk_sd,test_qwk_n,test_f1_mean,test_f1_sd,test_f1_n,test_ece_mean,test_ece_sd,test_ece_n,test_mae_mean,test_mae_sd,test_mae_n,test_severe_mean,test_severe_sd,test_severe_n
erm,0.72346568980534,0.031998371417035834,3,0.4383195309262324,0.027989008872488046,3,0.297340397631785,0.03035017142820392,3,0.608809993425378,0.04157636227156442,3,0.10650887573964492,0.02865057011111233,3
ordinal,0.6544732901986229,0.011090388544244597,3,0.3900842698264917,0.006467289765297419,3,0.0610461937487713,0.006784758377266278,3,0.675871137409599,0.007467335102958994,3,0.21564760026298482,0.0022775158547914147,3
deep_coral,0.6742505669057279,0.015785766873597402,3,0.4253250866850194,0.020586975420016314,3,0.32636628469928636,0.034659698755012576,3,0.6469428007889547,0.02918865599003692,3,0.13740959894806049,0.01313279707786861,3
mixstyle,0.6616544565348514,0.019737321696885864,3,0.41425894687886355,0.02776628283424267,3,0.3122220199057963,0.022908080619918118,3,0.6798159105851415,0.03012870279392403,3,0.14858645627876393,0.014803853056144237,3
mixstyle_ordinal,0.6596040398340625,0.017028079687065996,3,0.3979997978586421,0.024568926795138727,3,0.0632267207945749,0.009101049958862517,3,0.6640368178829718,0.016774951771430766,3,0.2110453648915187,0.012317550292698987,3
deep_coral_ordinal,0.6777829918254362,0.006812901607809878,3,0.4026730654967146,0.01261916803545776,3,0.0744858336715146,0.018204215408461018,3,0.6449704142011834,0.003944773175542357,3,0.20315581854043394,0.0,3
