protocol,target,n_test,n_paired_seeds,seeds,configuration,qwk_224,qwk_224_sd,qwk_512,qwk_512_sd,delta_qwk,delta_qwk_sd,sd_source,delta_over_sd,qwk_ci_lower,qwk_ci_upper,qwk_p,qwk_verdict,severe_224,severe_512,delta_severe,delta_severe_sd,severe_relative,severe_ci_lower,severe_ci_upper,severe_verdict,ece_scaled_224,ece_scaled_512,delta_ece_scaled
in_domain,ddr,1862,1,42,224px b32 -> 512px b16,0.8756732243528843,,0.8776555678641548,,0.001982343511270468,0.008573465846066513,proxy: 224px SD over 3 seeds,0.23121845317433237,-0.015597400679996761,0.019698565891800298,0.8548,within seed noise,0.07142857142857142,0.07250268528464017,0.0010741138560687452,0.0104737575913427,0.015037593984962433,-0.011278195488721804,0.012889366272824929,within seed noise,0.010674234817432663,0.021927724214289384,0.011253489396856721
in_domain,aptos,354,1,42,224px b32 -> 512px b16,0.9091092159449037,,0.9161610067659538,,0.007051790821050119,0.009674174785211662,proxy: 224px SD over 3 seeds,0.7289294412821417,-0.024913385516597403,0.04110616480171986,0.6948,within seed noise,0.03954802259887006,0.03672316384180791,-0.0028248587570621486,0.005649717514124294,-0.07142857142857147,-0.025423728813559317,0.019774011299435026,within seed noise,0.05142556601381937,0.04908549475980988,-0.002340071254009486
in_domain,idrid,102,1,42,224px b32 -> 512px b16,0.5883863529165139,,0.7196888536960269,,0.131302500779513,0.019115937711436902,proxy: 224px SD over 3 seeds,6.868744958347287,0.01369879996995529,0.2618292579042422,0.0268,REAL (better),0.22549019607843138,0.16666666666666666,-0.05882352941176472,0.02830148378380518,-0.26086956521739135,-0.13725490196078433,0.019607843137254916,CI spans zero,0.17121070585928097,0.1240167691033262,-0.04719393675595478
in_domain,eyepacs,5268,1,42,224px b32 -> 512px b16,0.7089828230314528,,0.8004096748894151,,0.09142685185796229,0.013937153137694683,proxy: 224px SD over 3 seeds,6.559937381378664,0.06907757837986947,0.11355422475449378,0.0,REAL (better),0.09187547456340167,0.057517084282460135,-0.034358390280941536,0.0027660709939754976,-0.37396694214876036,-0.04138667425968108,-0.027334851936218672,REAL (better),0.03639494598143335,0.025190118155652506,-0.011204827825780844
lodo,ddr,12424,1,42,224px b32 -> 512px b16,0.7333719908664899,,0.7794938598158747,,0.04612186894938486,0.005512340792173314,proxy: 224px SD over 3 seeds,8.367020597650802,0.03660451490113972,0.056090051700695344,0.0,REAL (better),0.16661300708306503,0.12950740502253702,-0.037105602060528015,0.0061279502903087025,-0.22270531400966187,-0.04282235994848681,-0.031149388280746954,REAL (better),0.05510316534139163,0.04798798021124134,-0.007115185130150289
lodo,aptos,3504,1,42,224px b32 -> 512px b16,0.8590853269535972,,0.879172125493864,,0.020086798540266848,0.005352701548457594,proxy: 224px SD over 3 seeds,3.7526468379420392,0.008536851325068212,0.03170868701866903,0.0004,REAL (better),0.06192922374429224,0.05108447488584475,-0.010844748858447488,0.005897254086692874,-0.17511520737327188,-0.019406392694063926,-0.00228310502283105,REAL (better),0.040551902912061094,0.06261063621304122,0.022058733300980127
lodo,idrid,507,1,42,224px b32 -> 512px b16,0.7542569817218183,,0.8227760036109292,,0.06851902188911085,0.02442758377910206,proxy: 224px SD over 3 seeds,2.804985646911557,0.03477995107900722,0.10742708468669586,0.0,REAL (better),0.11637080867850098,0.0670611439842209,-0.04930966469428008,0.006025740558784795,-0.42372881355932207,-0.07495069033530573,-0.025641025641025633,REAL (better),0.10469706436355061,0.08695216532617686,-0.01774489903737375
lodo,eyepacs,35108,3,"1,2,42",224px b32 -> 512px b16,0.41473497139014315,0.008137345028246545,0.5114762429929115,0.01623122183954834,0.0967412716027684,0.020082050849862802,paired (3 seeds),4.817300400542972,0.11116083707443494,0.12796900686616614,0.0,REAL (better),0.24073335612016256,0.18220918309217274,-0.058524173027989825,0.02157515238728006,-0.24310786827055808,-0.08089324370513842,-0.07217656944286203,REAL (better),0.17294183622549242,0.1522883908775209,-0.020653445347971505
