method,val_qwk,test_qwk,val_f1,test_f1,val_ece,test_ece,test_ece_scaled,test_mae,test_severe,seconds
erm,0.8797003741074338,0.7528824599851989,0.6935423277348951,0.4679881086250504,0.0505160290548613,0.2646847103944661,0.1850184459402084,0.5739644970414202,0.0788954635108481,766.5
ordinal,0.8784637954441641,0.6645553836010016,0.5356825527607775,0.39366886340191876,0.17710697317220692,0.05941790794950031,0.11284593347261648,0.6725838264299803,0.21696252465483234,795.5000000000001
deep_coral,0.8794015880505941,0.6645649478125373,0.6398447152439635,0.4197113495485891,0.0849844378470725,0.3352176577029143,0.2060665654517083,0.6607495069033531,0.1518737672583826,1067.5
mixstyle,0.8790587256486733,0.6432999698478419,0.6604000518319877,0.4193729875883653,0.0697679844695875,0.3019056470083767,0.2035456495692616,0.6863905325443787,0.1637080867850098,1222.4
mixstyle_ordinal,0.8728756103142974,0.6623224878662592,0.5165067915799793,0.37831793721616924,0.16815868723911256,0.06278200332935042,0.13532403187874037,0.6706114398422091,0.21499013806706113,1218.3
deep_coral_ordinal,0.8705736088376068,0.6707447853987718,0.5132937844946168,0.39384269950038586,0.17985108204300793,0.0706580328870807,0.09656461679488712,0.6489151873767258,0.20315581854043394,1073.6
