target,in_domain_qwk,lodo_qwk_mean,lodo_qwk_sd,n_seeds,delta_qwk,ci_lower,ci_upper,exceeds_seed_sd,ci_excludes_zero,verdict
ddr,0.8756732243528843,0.7326765546382944,0.0037699205152594163,3,-0.1429966697145899,-0.1760364868261774,-0.11133980842022592,True,True,REAL (both bars)
aptos,0.9091092159449036,0.8624742072243249,0.010282415820399968,3,-0.046635008720578686,-0.09320113058098534,0.0035192696839303236,True,False,CI spans zero
idrid,0.5883863529165139,0.680344454447451,0.05040115684266665,3,0.09195810153093709,-0.14204215550221017,0.334212505484973,True,False,CI spans zero
eyepacs,0.7089828230314528,0.4153081179253611,0.008165879157004521,3,-0.29367470510609167,-0.32999304340612895,-0.2576520305358664,True,True,REAL (both bars)
