domain,method,seed,n_train,n_test,val_qwk,test_qwk,test_f1,test_ece,test_ece_scaled,test_severe,seconds
ddr,erm,42,8697,1862,0.8901441359063365,0.8756732243528843,0.6649630691743392,0.0864800506388462,0.0106754421376385,0.0714285714285714,620.3
aptos,erm,42,2809,354,0.8965538162844315,0.9091092159449036,0.6663961952026468,0.0720173865556717,0.0514264152386606,0.03954802259887,235.2
idrid,erm,42,335,102,0.8566685113447703,0.5883863529165139,0.4371434192406059,0.1720348868299933,0.1712100708975792,0.2254901960784313,47.9
eyepacs,erm,42,24574,5268,0.8083337396836153,0.8004096748894151,0.6130007975457431,0.0606282571204793,0.025190747774103597,0.057517084282460135,11802.4
