contrast,isolates,reference_arm,candidate_arm,target,metric,n_seeds,seeds,n_test,delta,ci_lower,ci_upper,seed_sd,sign_agreement,exceeds_seed_sd,t_stat,p_ttest,p_signflip,min_attainable_signflip_p,delta_seed1,delta_seed2,delta_seed42,p_holm,holm_family
batch,"batch size, resolution held at 224 px",224/b32,224/b16,eyepacs,qwk,3,"1,2,42",35108,0.010263968878673055,-0.014019751165852048,0.029942046620348765,0.023017109964048755,2,False,0.7723695812782377,0.5206790433077892,0.5,0.25,0.01525043262872583,-0.014837640548693742,0.030379114555987075,0.5206790433077892,batch/qwk across 2 held-out domain(s)
batch,"batch size, resolution held at 224 px",224/b32,224/b16,eyepacs,f1_macro,3,"1,2,42",35108,-0.0017384040959435947,-0.014762947361459399,0.00939156875104623,0.011145889894561124,1,False,-0.2701448019623297,0.8123713099715244,1.0,0.25,0.005264512431620683,-0.014591345216612928,0.004111620497161461,1.0,batch/f1_macro across 2 held-out domain(s)
batch,"batch size, resolution held at 224 px",224/b32,224/b16,eyepacs,severe_error_rate,3,"1,2,42",35108,-0.010453457901333035,-0.020498889142075885,0.002653953514868381,0.01229482871117169,2,False,-1.4726451767025601,0.27872871732303306,0.5,0.25,-0.014526603623105844,0.0033610573088754536,-0.020194827389768716,0.27872871732303306,batch/severe_error_rate across 2 held-out domain(s)
batch,"batch size, resolution held at 224 px",224/b32,224/b16,idrid,qwk,3,"1,2,42",507,0.045923660061314285,-0.0026537683357391586,0.09738026926612975,0.042393857733802526,3,True,1.876265023937548,0.20143536733909806,0.25,0.25,0.08405725043059575,0.05343902313582871,0.0002747066175183832,0.4028707346781961,batch/qwk across 2 held-out domain(s)
batch,"batch size, resolution held at 224 px",224/b32,224/b16,idrid,f1_macro,3,"1,2,42",507,0.013071167524778585,-0.04189836881553915,0.07227730614562676,0.055053197349162704,2,False,0.4112372642695412,0.720777080493289,0.75,0.25,0.07253957499142044,0.0027916784745864454,-0.03611775089167113,1.0,batch/f1_macro across 2 held-out domain(s)
batch,"batch size, resolution held at 224 px",224/b32,224/b16,idrid,severe_error_rate,3,"1,2,42",507,-0.03616042077580539,-0.061817882971729125,-0.00986193293885602,0.015942610983539968,3,True,-3.928571428571427,0.059107081051037146,0.25,0.25,-0.04536489151873767,-0.04536489151873768,-0.017751479289940822,0.11821416210207429,batch/severe_error_rate across 2 held-out domain(s)
resolution,"resolution, batch held at 16",224/b16,512/b16,eyepacs,qwk,3,"1,2,42",35108,0.08647730272409533,0.06859931806569736,0.10355086860280045,0.018437955113908427,3,True,8.12362765254053,0.014817098993719153,0.25,0.25,0.06681093193265986,0.10337331925915316,0.08924765698047299,0.029634197987438306,resolution/qwk across 2 held-out domain(s)
resolution,"resolution, batch held at 16",224/b16,512/b16,eyepacs,f1_macro,3,"1,2,42",35108,0.04876984164829599,0.03394063283392058,0.0627905475725406,0.013936104667071732,3,True,6.061366904880361,0.026155043774674258,0.25,0.25,0.03294486704057936,0.059210697455838346,0.05415396044847026,0.052310087549348516,resolution/f1_macro across 2 held-out domain(s)
resolution,"resolution, batch held at 16",224/b16,512/b16,eyepacs,severe_error_rate,3,"1,2,42",35108,-0.04807071512665679,-0.06744948919524515,-0.022187250769055495,0.02486654065267585,3,True,-3.3483113762581107,0.0787979740640079,0.25,0.25,-0.02010937678022104,-0.06770536629827958,-0.05639740230146975,0.14656804577655186,resolution/severe_error_rate across 2 held-out domain(s)
resolution,"resolution, batch held at 16",224/b16,512/b16,idrid,qwk,3,"1,2,42",507,0.04206767251152088,0.0052448389327242415,0.0806829637354887,0.023114997876031385,3,True,3.1522108086229563,0.08761534626841876,0.25,0.25,0.03349495266036573,0.024463749602604445,0.06824431527159247,0.08761534626841876,resolution/qwk across 2 held-out domain(s)
resolution,"resolution, batch held at 16",224/b16,512/b16,idrid,f1_macro,3,"1,2,42",507,0.07135503592058384,0.01931069288151494,0.11949355976367904,0.029668420131018967,3,True,4.165727296720358,0.05307953602190445,0.25,0.25,0.0372506392266756,0.09121485740447371,0.08559961113060222,0.05307953602190445,resolution/f1_macro across 2 held-out domain(s)
resolution,"resolution, batch held at 16",224/b16,512/b16,idrid,severe_error_rate,3,"1,2,42",507,-0.020381328073635768,-0.04142011834319528,2.3707887505013206e-18,0.01012150185295244,3,True,-3.4877724928706724,0.07328402288827593,0.25,0.25,-0.01775147928994083,-0.011834319526627217,-0.03155818540433926,0.14656804577655186,resolution/severe_error_rate across 2 held-out domain(s)
combined,"both, as originally reported",224/b32,512/b16,eyepacs,qwk,3,"1,2,42",35108,0.0967412716027684,0.08017720347558226,0.11895621364828257,0.020082050849862802,3,True,8.34380904906233,0.01406161055081586,0.25,0.25,0.08206136456138569,0.08853567871045942,0.11962677153646006,0.02812322110163172,combined/qwk across 2 held-out domain(s)
combined,"both, as originally reported",224/b32,512/b16,eyepacs,f1_macro,3,"1,2,42",35108,0.047031437552352395,0.036275336117361036,0.060476643868373765,0.01024335985182952,3,True,7.952550781385253,0.015446598491231913,0.25,0.25,0.038209379472200045,0.04461935223922542,0.05826558094563172,0.030893196982463827,combined/f1_macro across 2 held-out domain(s)
combined,"both, as originally reported",224/b32,512/b16,eyepacs,severe_error_rate,3,"1,2,42",35108,-0.058524173027989825,-0.07642204056055601,-0.036686795032471214,0.02157515238728006,3,True,-4.698314029762903,0.042438850396492346,0.25,0.25,-0.03463598040332688,-0.06434430898940413,-0.07659222969123847,0.042438850396492346,combined/severe_error_rate across 2 held-out domain(s)
combined,"both, as originally reported",224/b32,512/b16,idrid,qwk,3,"1,2,42",507,0.08799133257283516,0.047644807704066074,0.13756713425376332,0.02602686101593144,3,True,5.855698793202572,0.027946916697850644,0.25,0.25,0.11755220309096148,0.07790277273843316,0.06851902188911085,0.02812322110163172,combined/qwk across 2 held-out domain(s)
combined,"both, as originally reported",224/b32,512/b16,idrid,f1_macro,3,"1,2,42",507,0.08442620344536243,0.028993695425260427,0.13758799092344864,0.03127477365344449,3,True,4.675668494931187,0.042824836895302976,0.25,0.25,0.10979021421809604,0.09400653587906016,0.049481860238931086,0.042824836895302976,combined/f1_macro across 2 held-out domain(s)
combined,"both, as originally reported",224/b32,512/b16,idrid,severe_error_rate,3,"1,2,42",507,-0.05654174884944116,-0.08022682445759369,-0.03353057199211045,0.006926794051842689,3,True,-14.138312908260739,0.004965473882439927,0.25,0.25,-0.06311637080867849,-0.0571992110453649,-0.04930966469428008,0.009930947764879855,combined/severe_error_rate across 2 held-out domain(s)
