target,method,seed,backbone,image_size,batch_size,fraction,n_train,n_train_full,n_test,source_qwk,target_qwk,target_f1,target_ece,target_ece_scaled,target_severe,seconds
eyepacs,erm,1,densenet121,224,32,0.25,2962,11841,35108,0.8253381391379312,0.4118387144663877,0.3611485113839847,0.198136952144044,0.0812955892627221,0.2249060043294975,237.2
eyepacs,erm,2,densenet121,224,32,0.25,2962,11841,35108,0.8468135893768285,0.4027666391910399,0.3613063330318258,0.2490592659465391,0.1252513220940346,0.2488321750028483,250.0
eyepacs,erm,42,densenet121,224,32,0.25,2962,11841,35108,0.8153573561845249,0.3554057595778535,0.355336075560721,0.2534941693130612,0.1464620155631356,0.2835536060157229,265.2
eyepacs,erm,1,densenet121,224,32,0.5,5921,11841,35108,0.8564544534105374,0.4114302136518833,0.3588818365022334,0.2439136797793772,0.1406560812462709,0.2350461433291557,438.1
eyepacs,erm,2,densenet121,224,32,0.5,5921,11841,35108,0.8641205796275635,0.4086678959339167,0.3513286086489017,0.2401479367967671,0.1445933811568532,0.2416543238008431,438.1
eyepacs,erm,42,densenet121,224,32,0.5,5921,11841,35108,0.8595374788094864,0.3942365273932173,0.3552489889944812,0.2573345564963661,0.1654586047679141,0.260168622536174,417.0
eyepacs,erm,1,densenet121,224,32,0.75,8879,11841,35108,0.8634099018754309,0.4471120328795311,0.3698209616178388,0.1692055527694244,0.1181275437489893,0.2119459952147658,504.1
eyepacs,erm,2,densenet121,224,32,0.75,8879,11841,35108,0.8764312264774717,0.4137169754932615,0.37865011229102713,0.2890013543388301,0.1805088635130116,0.2307451293152558,628.5
eyepacs,erm,42,densenet121,224,32,0.75,8879,11841,35108,0.8771501537651755,0.4089239119185154,0.3750972882222452,0.2814009163528255,0.1785595847997386,0.2440469408681781,625.9
