split,metric,estimate,ci_lower,ci_upper,standard_error,n_bootstrap,n_samples,n_failed_resamples,confidence_level,seed
source_val,qwk,0.878708061067158,0.861812876143066,0.8948328515534142,0.008542241544596138,2000,2206,0,0.95,42
source_val,f1_macro,0.6683223343685301,0.6337296950376676,0.7011676306214474,0.017387332139253416,2000,2206,0,0.95,42
source_val,auroc_macro,0.9443239415927328,0.9358856590616988,0.9521614057243873,0.004252393593703578,2000,2206,0,0.95,42
source_val,ece,0.07968896870600131,0.06861648331392055,0.09477791376884753,0.006653134420248112,2000,2206,0,0.95,42
target_test,qwk,0.6823144986599111,0.617670250302601,0.7382868873581775,0.030616391417596322,2000,507,0,0.95,42
target_test,f1_macro,0.4322832100892861,0.38697354923120403,0.475176331854046,0.021861349434187466,2000,507,0,0.95,42
target_test,auroc_macro,0.8672238209730105,0.8472933424449245,0.8861580558629337,0.009998272512656434,2000,507,0,0.95,42
target_test,ece,0.34564772459882254,0.30494402623799666,0.387464249833566,0.02124368369914856,2000,507,0,0.95,42
