target,n_test,n_paired_seeds,seeds,densenet_qwk,densenet_qwk_sd,convnext_qwk,convnext_qwk_sd,delta_qwk,delta_qwk_sd,sd_source,delta_over_sd,qwk_ci_lower,qwk_ci_upper,qwk_p,qwk_excludes_zero,qwk_verdict,densenet_ece,convnext_ece,densenet_ece_scaled,densenet_ece_scaled_sd,convnext_ece_scaled,convnext_ece_scaled_sd,delta_ece_scaled,delta_ece_scaled_sd,ece_ci_lower,ece_ci_upper,ece_p,ece_excludes_zero,ece_verdict,densenet_severe,convnext_severe,delta_severe,delta_severe_sd,densenet_temperature,convnext_temperature
ddr,12424,3,"1,2,42",0.7383170544314274,0.005512340792173314,0.7636333234122014,0.016487757091488194,0.02531626898077392,0.012284250819596887,paired (3 seeds),2.060872034653285,0.015411006222574667,0.03396757497773721,0.0,True,REAL (better),0.12962232587169994,0.11428728201008802,0.047202027593418884,0.006843958272463069,0.04382535430170745,0.015495636354497124,-0.0033766732917114343,0.011505182215935224,-0.004058549046070638,0.011329389626552961,0.3516,False,within seed noise,0.15982506975745867,0.14182227945911138,-0.01800279029834727,0.008819495755575397,1.632,1.4288
aptos,3504,3,"1,2,42",0.8590415399785784,0.005352701548457594,0.8747566365534789,0.01091436032239995,0.015715096574900594,0.00818287950506799,paired (3 seeds),1.9204849057312399,-0.004019924183754691,0.01754220953754375,0.222,False,CI spans zero,0.12393224523592083,0.158156226162481,0.03971712140866263,0.0076244851216643655,0.06603042329467344,0.021651561140263596,0.026313301886010804,0.027001808435368566,0.030261297816056756,0.054658031391082,0.0,True,within seed noise,0.06278538812785388,0.0547945205479452,-0.007990867579908677,0.006040528107453405,1.3836,1.8965
idrid,507,3,"1,2,42",0.7413293932834902,0.02442758377910206,0.7946075552391504,0.02859880898234708,0.05327816195566015,0.024442298984086668,paired (3 seeds),2.1797524852448324,-0.01762833717464984,0.07146918812524626,0.2572,False,CI spans zero,0.2294072681065089,0.24002685458908612,0.12128743363254153,0.01757431808275393,0.12311946397283452,0.054190645290871024,0.0018320303402929682,0.04500850838025775,-0.02192230879421862,0.05393384855435885,0.4048,False,within seed noise,0.11768573307034845,0.09138724523339907,-0.026298487836949377,0.01283315009595209,1.6345,1.4808
eyepacs,35108,3,"1,2,42",0.41473497139014315,0.008137345028246545,0.47009369600780165,0.008608498673447073,0.05535872461765845,0.01362268055815928,paired (3 seeds),4.063717443957932,0.050740862699114195,0.06649033401418598,0.0,True,REAL (better),0.2845600906286317,0.31339507638154646,0.17294183622549242,0.0088004756565749,0.17000753822180092,0.018995145844566016,-0.0029342980036914748,0.02683322801477684,-0.019659212956485254,-0.009787888247836246,0.0,True,within seed noise,0.24073335612016256,0.20020128365804565,-0.0405320724621169,0.007939757064759145,1.8472,2.3941
