sampler,method,n_seeds,n_test,erm_qwk,method_qwk,delta_qwk,delta_qwk_seed42,delta_qwk_sd,delta_over_sd,ci_lower,ci_upper,p_value,verdict,erm_severe,method_severe,delta_severe,delta_severe_sd,erm_ece_scaled,method_ece_scaled,delta_ece_scaled,component_note,p_holm
natural,deep_coral,3,35108,0.41473497139014315,0.4224603604137515,0.007725389023608346,0.008411239483067434,0.009997368652421835,0.772742237702407,0.0014018924255872873,0.015386163757313564,0.02,within seed noise,0.24073335612016256,0.22784930310280657,-0.012884053017355976,0.012647214111097815,0.17294183622549242,0.174558268411958,0.0016164321864656217,alignment inactive in 4% of batches,0.04
natural,mixstyle,3,35108,0.41473497139014315,0.4091279291344372,-0.005607042255705963,0.021403657676100973,0.02390190715681806,0.23458555917394838,0.01441907104696385,0.028476448764033203,0.0,within seed noise,0.24073335612016256,0.24241388477460027,0.0016805286544377407,0.016493025287605743,0.17294183622549242,0.16388538155353483,-0.009056454671957564,mixstyle active,0.0
natural,groupdro,3,35108,0.41473497139014315,0.4142323115848309,-0.0005026598053122777,-0.00238720998237707,0.0016535670893075612,0.30398512921708476,-0.009461918609758096,0.004846260706639783,0.5144,within seed noise,0.24073335612016256,0.23870153051536214,-0.002031825604800419,0.006002687100656986,0.17294183622549242,0.1736088338664138,0.000666997640921374,a domain was a single image in 62% of its batches,0.5144
natural,irm,3,35108,0.41473497139014315,0.33792855463304994,-0.07680641675709325,-0.05876398481550993,0.016232167565694258,4.731741244429927,-0.07093464191720264,-0.0462102017832306,0.0,WORSE than ERM,0.24073335612016256,0.2562378944969807,0.015504538376818191,0.04365860304518168,0.17294183622549242,0.05869258087333909,-0.11424925535215331,a domain's penalty skipped in 61% of its batches,0.0
domain-balanced,deep_coral,3,35108,0.39625871230340387,0.4072977102449698,0.011038997941565931,-0.02817204070742263,0.04690355989605276,0.23535522604319284,-0.035748696383359826,-0.020500419311511666,0.0,within seed noise,0.2539212335270214,0.23404921955109947,-0.01987201397592191,0.050491905890800465,0.16343205618622367,0.15073235017518008,-0.012699706011043579,alignment inactive in 0% of batches,0.0
domain-balanced,mixstyle,3,35108,0.39625871230340387,0.3932962688193602,-0.002962443484043694,-0.033947334778308136,0.041032923308506934,0.07219674459385937,-0.04206781688612284,-0.025879110274515414,0.0,within seed noise,0.2539212335270214,0.2475314268352892,-0.006389806691732169,0.05266101626107829,0.16343205618622367,0.14775048289490209,-0.0156815732913216,mixstyle active,0.0
domain-balanced,groupdro,3,35108,0.39625871230340387,0.40686805723620934,0.010609344932805484,-0.02737300146049182,0.0518195547098227,0.20473631995132566,-0.03517823047313172,-0.019423125330931715,0.0,within seed noise,0.2539212335270214,0.24132201587482438,-0.012599217652197015,0.04945861902240937,0.16343205618622367,0.15229650449591117,-0.011135551690312495,a domain was a single image in 0% of its batches,0.0
domain-balanced,irm,3,35108,0.39625871230340387,0.35479762443110224,-0.04146108787230159,-0.07801019946106769,0.04822063353682747,0.8598204716791326,-0.08828467577842346,-0.06733528994135198,0.0,within seed noise,0.2539212335270214,0.2532471231628119,-0.0006741103642094829,0.04335101931650401,0.16343205618622367,0.05248154308755681,-0.11095051309866688,a domain's penalty skipped in 0% of its batches,0.0
