target,n_test,in_domain_qwk,lodo_qwk,delta_qwk,ci_lower,ci_upper,in_domain_severe,lodo_severe,severe_relative
ddr,1862,0.8776555678641548,0.773939521046726,-0.10371604681742874,-0.13249541860572348,-0.07547691453054022,0.07250268528464017,0.12943071965628355,0.7851851851851851
aptos,354,0.9161610067659538,0.8692285096269394,-0.04693249713901437,-0.08546955104882162,-0.009676345945067229,0.03672316384180791,0.06497175141242938,0.769230769230769
idrid,102,0.7196888536960269,0.7141638745050258,-0.005524979191001034,-0.13141047570260386,0.12740916629414703,0.16666666666666666,0.11764705882352941,-0.2941176470588235
eyepacs,5268,0.8004096748894151,0.5386661926147096,-0.26174348227470545,-0.2893735114114167,-0.23433997987177857,0.057517084282460135,0.16192103264996202,1.815181518151815
