domain,n_test,in_domain_qwk,lodo_qwk,delta_qwk,ci_lower,ci_upper,ci_excludes_zero
ddr,1862,0.86035174560318,0.7287261377429576,-0.13162560786022237,-0.16213884057507832,-0.10325827370407083,True
aptos,354,0.898490115969244,0.8742308067415,-0.024259309227743997,-0.06854867440939312,0.019561303665746585,False
idrid,102,0.5639101892204998,0.6661646295545386,0.10225444033403874,-0.0898588428402087,0.297669595733732,False
eyepacs,5268,0.6911922435813672,0.4071809028247061,-0.2840113407566611,-0.3131758677886566,-0.2535335959670612,True
