target,n_seeds,control,retfound_source,control_source,retfound_target,control_target,delta_target_qwk,delta_sd,delta_over_sd,ci_lower,ci_upper,p_value,retfound_drop,control_drop,retfound_severe,control_severe,verdict
ddr,10,densenet121,0.6001224587681869,0.5212751401010617,0.5129600982498004,0.5504423492277869,0.03748225097798642,0.013432447246501247,2.7904260698101333,0.04460759518385617,0.07501991614006619,0.0,0.08716236051838655,-0.029167209126725213,0.3183032839665164,0.30799259497746295,ImageNet features better
aptos,10,densenet121,0.6342767351574207,0.5878133337880576,0.48291273956447645,0.5217173122385794,0.03880457267410295,0.04223275736785024,0.9188264061499095,0.029543366433172846,0.08592606341925867,0.0,0.15136399559294422,0.06609602154947813,0.42862442922374433,0.3126426940639269,within seed noise
idrid,10,densenet121,0.6471887135522689,0.6006114719609944,0.6792095924404611,0.7017923886614961,0.022582796221034908,0.024131937022632322,0.935805368622314,-0.01294386278999718,0.08895786142293222,0.1376,-0.03202087888819216,-0.10118091670050167,0.1970414201183432,0.17435897435897435,within seed noise
