domain,protocol,model,seed,experiment_id,in_registry,status,epochs_run,epochs_planned,best_epoch,train_seconds,n_test,predictions_sha256
ddr,partial,ImageNet-MAE,1,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s1,True,COMPLETE,18,20,11,5341.0,12424,e46b7693201af5d167157da5df49bdce4f4a83ac73721948badb07361be08d1a
ddr,partial,ImageNet-MAE,2,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s2,True,COMPLETE,16,20,9,4726.0,12424,cd63ca29a1a3591f8ac742b6f84dab8d00dc67f06d9e93da2979c4d32ca612d8
ddr,partial,ImageNet-MAE,3,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s3,True,COMPLETE,1,20,12,309.2,12424,32c9b2410dbc1e0a1c721d33ff1f7325cbba8120ebd24ecd4f06df75fa14767e
ddr,partial,ImageNet-MAE,4,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s4,True,COMPLETE,2,20,12,611.1,12424,612a44fce6f7b5f127415c741d2d2a928cf596327c35cd442d49dda0441d4134
ddr,partial,RETFound,42,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-tb4-lr0.0001_s42,True,COMPLETE,17,20,10,5019.5,12424,5ee28d972e20dc6fd65d53098aebec0cf35229dbe139e2dbcc0075e73fe443e3
ddr,partial,RETFound,1,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-tb4-lr0.0001_s1,True,COMPLETE,15,20,8,4420.7,12424,247c7c5efb0927f1c3cb778caa874e55ec5d9e248e6f0675b6ca29cdfbc019c6
ddr,partial,RETFound,2,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-tb4-lr0.0001_s2,True,COMPLETE,13,20,6,3850.1,12424,4275dd4ce81dd45c1f26a1f918502c37356d0e211e3c9da88be7be8a5e6f7b35
ddr,partial,RETFound,3,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-tb4-lr0.0001_s3,True,COMPLETE,14,20,7,4148.2,12424,785b2d2eaecbb2b352997ef2c0ac95644f560f08982338406cb13cd5a1f268af
ddr,partial,RETFound,4,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-tb4-lr0.0001_s4,True,COMPLETE,14,20,7,4148.8,12424,e9c73e1008ee2b8188543f3385e69d10a0174013d98596a847d727a86aaa5b30
ddr,full,ImageNet-MAE,42,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s42,True,COMPLETE,20,20,16,17286.2,12424,37cfad723e4399fd8d8091abf722db20331bbde13dd5d74443d3540c0c44fa1d
ddr,full,ImageNet-MAE,1,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s1,True,COMPLETE,20,20,18,17173.3,12424,5d750b113de2093657badfd1bc0994947beba6904473de1c78c10f8caf65b96e
ddr,full,ImageNet-MAE,2,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s2,True,COMPLETE,20,20,16,17181.3,12424,71d2edfb46dc85b07b4a2d7a22e1d37737bc195603af5f3c00df2b86209e6588
ddr,full,ImageNet-MAE,3,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s3,True,COMPLETE,20,20,19,17324.5,12424,34f7063a850c6cc0c451abad958df7c8f918d254a766431d50a678601e96783c
ddr,full,ImageNet-MAE,4,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s4,True,COMPLETE,20,20,19,17280.4,12424,052ecde243f12664a2f051ddbfe6f69e033c3d6adac50a0c5e85eefbf9f9300a
ddr,full,RETFound,42,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s42,True,COMPLETE,17,20,10,14642.0,12424,d510fac59f7d0e16c582454dd76b7a7081cafb81add56764762a57ae31768bb2
ddr,full,RETFound,1,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s1,True,COMPLETE,13,20,6,11249.7,12424,397c2216f37621951dd3121cca66cb38c3250b41e33f610f5d578293c84011e2
ddr,full,RETFound,2,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s2,True,COMPLETE,16,20,9,13895.2,12424,8635e42606aebf8251ad291d4e5c6620f5571c8c44a270feb24bdafec234d6e7
ddr,full,RETFound,3,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s3,True,COMPLETE,17,20,10,14659.2,12424,a65e179fc2ac4ec2420d70a035585f2943213c6d9440e435118cfbdc44202376
ddr,full,RETFound,4,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s4,True,COMPLETE,15,20,8,13119.1,12424,46d63ea139fff155e3b0e3dac552991b5e0c7554a04a3257a5b811e858b1b529
aptos,frozen,ImageNet-MAE,42,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s42,True,COMPLETE,163,200,-1,161.4,3504,85b13c10d9f6fb7a3b1fdab0f0fc79e2fbf487bd024b8644894102c8e14e27de
aptos,frozen,ImageNet-MAE,1,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s1,True,COMPLETE,81,200,-1,79.8,3504,709cb38175f4fce3708ccd1c570dff635b68d173b03bf0df319415cdf4284c42
aptos,frozen,ImageNet-MAE,2,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s2,True,COMPLETE,181,200,-1,178.6,3504,ad55353db455abee2e27506765accaa4b11ff68e90a591225fe19dee88a17fb8
aptos,frozen,ImageNet-MAE,3,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s3,True,COMPLETE,159,200,-1,77.7,3504,2ebfc034f458c1de039dd5d9db048051abb870c74a9222bb5bfd86dcdae56cfa
aptos,frozen,ImageNet-MAE,4,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s4,True,COMPLETE,161,200,-1,78.1,3504,a237ed8c6ba5ec52726bfe99f63e45e96a2bdab73c805220200602ea2759ff22
aptos,frozen,ImageNet-MAE,5,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s5,True,COMPLETE,80,200,-1,42.2,3504,8958b1c4e06daa2cb2ec36a39860e7fb60bacc71fa78c2044c76b895ed9f6139
aptos,frozen,ImageNet-MAE,6,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s6,True,COMPLETE,83,200,-1,44.1,3504,21a21ac79d680ca2ef6dc3f3082cb11ffd23bf4f335216643aff00bebb7d5fe1
aptos,frozen,ImageNet-MAE,7,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s7,True,COMPLETE,86,200,-1,45.7,3504,e74beda4dca0c05cc06519075bdc2a6bb5af3db4b74d6d505b83616fcf668afe
aptos,frozen,ImageNet-MAE,8,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s8,True,COMPLETE,97,200,-1,51.7,3504,ece22e494607c0a6c60eb625697b27533a3bfe48b90ffa632f9eea8406b39fca
aptos,frozen,ImageNet-MAE,9,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s9,True,COMPLETE,75,200,-1,40.2,3504,ed1e4523c4898c7ba2948714244a1c612e9a4d7fb5bc7533e310ef7fe2b3feb8
aptos,frozen,RETFound,42,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s42,True,COMPLETE,183,200,-1,92.0,3504,e9178c1db3aa178d20b1edec6f0c003f37916e07bfc7a0cd5c7ca45b14fd1257
aptos,frozen,RETFound,1,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s1,True,COMPLETE,107,200,-1,54.1,3504,88227723f779e2ec13dc76b61e124272b70ff3b52c4b2ce8c162cdbf74e28b3d
aptos,frozen,RETFound,2,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s2,True,COMPLETE,183,200,-1,93.6,3504,f99e5fe9d5dc903d25711a2e0febb3a39c2452accfdd657cb8a84509434a986d
aptos,frozen,RETFound,3,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s3,True,COMPLETE,163,200,-1,78.2,3504,1d9d6bbba9bb461c4ecf1a53dcdf097ea39a4e9baf1e41b572f0f7c1fd0260fa
aptos,frozen,RETFound,4,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s4,True,COMPLETE,129,200,-1,62.3,3504,96e52732efab7040247f0eb7c465fde384714d0cc937e525c7be832dc2077763
aptos,frozen,RETFound,5,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s5,True,COMPLETE,75,200,-1,40.2,3504,63a8dc59530663333541e7762fedc0bff429c1a4c57d3815147085c6c3ca0f3e
aptos,frozen,RETFound,6,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s6,True,COMPLETE,200,200,-1,110.2,3504,ee8554846091dca4453d0d0121beb1c666eca8dc82d6600aff77093a0c414ace
aptos,frozen,RETFound,7,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s7,True,COMPLETE,200,200,-1,107.5,3504,ff9e551b0a122376d7b6cab88d72987e7ef4e16bc165b3e4d05bcc9b81412e8d
aptos,frozen,RETFound,8,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s8,True,COMPLETE,143,200,-1,76.9,3504,bd219644144cc2a3c900c53a9fe0700533e08fbd10f7d95edcd3f70763e14bda
aptos,frozen,RETFound,9,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s9,True,COMPLETE,194,200,-1,104.8,3504,90546d96e18cb5142298090cc85faaa66e0bdb9bf3fb6ebe8456498e465df323
aptos,partial,ImageNet-MAE,42,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s42,True,COMPLETE,2,20,11,764.8,3504,22ef653b010f3e9546bc580060a6df571af461db7ef5903774576d2a0bc5e52a
aptos,partial,ImageNet-MAE,1,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s1,True,COMPLETE,0,20,13,0.0,3504,1b5e2d3390c2525616eb65ae58febadb1633cfa7f5314bee4bd1e2b6e381fd7d
aptos,partial,ImageNet-MAE,2,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s2,True,COMPLETE,5,20,14,1915.8,3504,4aae6daa41a7c520578492c68a0d977671752f18fd57ab6d6fe219096f2a690f
aptos,partial,ImageNet-MAE,3,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s3,True,COMPLETE,20,20,15,7194.7,3504,cccc3a1a548b93668627eca15756926d0b4759e4c28c19db9c6a41ccd146e261
aptos,partial,ImageNet-MAE,4,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_erm-b16-tb4-lr0.0001_s4,True,COMPLETE,14,20,7,5021.9,3504,5b8677d74763c97b52978650337d484e35cb181890a6905c10f382246652c72f
aptos,partial,RETFound,42,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_erm-b16-tb4-lr0.0001_s42,True,COMPLETE,11,20,4,3975.4,3504,d719a93712c30f369544494b4d798cace5828b08facf7b9801d9bbe9c43dd989
