metric,imagenet_mean,imagenet_sd,retfound_mean,retfound_sd,delta_mean,delta_sd,p_ttest,p_signflip,sign_agreement,primary
qwk,0.6208840275065914,0.046732124672456826,0.664796471741378,0.011997005760104368,-0.04391244423478653,0.04672130010410063,0.10346194386212988,0.125,4,True
f1_macro,0.44568370696987597,0.02786928305905209,0.4404446560056545,0.012619834236127017,0.005239050964221392,0.03108661906818068,0.7254270978404498,0.625,4,False
balanced_accuracy,0.46075268267531816,0.027868699398123982,0.5003957181857869,0.011975902283293828,-0.03964303551046881,0.02634737795584924,0.02818820640982757,0.0625,5,False
severe_error_rate,0.23718609143593045,0.027991874225148556,0.21677398583386992,0.010208420234418277,0.020412105602060526,0.018314702533802383,0.06732985454886815,0.0625,5,False
mae_grade,0.6056664520283322,0.05430150555483895,0.5981165486155827,0.011451434772791211,0.007549903412749548,0.059606455728291145,0.791057257735586,0.875,2,False
within_1_grade,0.7628139085640695,0.027991874225148514,0.78322601416613,0.010208420234418295,-0.020412105602060547,0.018314702533802327,0.0673298545488674,0.0625,5,False
auroc_macro,0.7956180703022271,0.015936752874022086,0.7992784208466245,0.009398058263334112,-0.003660350544397373,0.022644157514881403,0.7360445660683212,0.75,3,False
ece,0.0925383350081976,0.006717332416732592,0.11026498750210614,0.01788721659759676,-0.017726652493908552,0.020398307548090876,0.12392091059245873,0.125,4,False
nll,1.0061882370712794,0.03847988168718604,1.0641640582684935,0.051924225604808444,-0.05797582119721432,0.07484565973273151,0.1582989807346347,0.1875,4,False
