target,n_test,in_domain_severe,in_domain_severe_sd,lodo_severe_mean,lodo_severe_sd,n_seeds,delta_severe,delta_severe_sd,relative_increase,ci_lower,ci_upper,p_value,exceeds_seed_sd,ci_excludes_zero,verdict
ddr,1862,0.07876834944504117,0.0104737575913427,0.16308628714643755,0.0053795127824263125,3,0.08431793770139635,0.014951032123603708,1.0704545454545455,0.08055853920515575,0.11548066595059059,0.0,True,True,REAL (both bars)
aptos,354,0.03954802259887005,0.005649717514124294,0.06685499058380415,0.009080650434079997,3,0.02730696798493409,0.009920577921706914,0.6904761904761907,-0.008474576271186439,0.0423728813559322,0.2068,True,False,CI spans zero
idrid,102,0.20915032679738563,0.02830148378380518,0.15359477124183007,0.03443024102239457,3,-0.05555555555555556,0.04633152574757459,-0.265625,-0.13725490196078433,0.05882352941176472,0.486,True,False,CI spans zero
eyepacs,5268,0.09383700329030625,0.0027660709939754976,0.2395596051632498,0.007499903669376771,3,0.14572260187294353,0.009145827114732804,1.5529332434254886,0.1433181473044799,0.1689445709946849,0.0,True,True,REAL (both bars)
