metric,px224,px512,difference,ci_lower,ci_upper,p_value,excludes_zero,n
qwk,0.7089828230314528,0.8004096748894151,0.09142685185796229,0.0693820572982943,0.11422945201624671,0.0,True,5268
severe_error_rate,0.09187547456340167,0.057517084282460135,-0.034358390280941536,-0.041761579347000755,-0.027145026575550492,0.0,True,5268
f1_macro,0.5423260184176844,0.6130007975457431,0.07067477912805875,0.04457528449334725,0.09771385188509701,0.0,True,5268
mae_grade,0.2984054669703872,0.21241457858769933,-0.0859908883826879,-0.10250569476082005,-0.07004555808656035,0.0,True,5268
within_1_grade,0.9081245254365984,0.9424829157175398,0.03435839028094145,0.027145026575550513,0.041761579347000755,0.0,True,5268
