domain,n_test,in_domain_qwk,lodo_qwk,delta_qwk,ci_lower,ci_upper,ci_excludes_zero
ddr,1862,0.8746797307761691,0.7287261377429576,-0.14595359303321154,-0.17670091569694316,-0.11693478651539994,True
aptos,354,0.917806628872163,0.8742308067415,-0.04357582213066302,-0.08445117168021676,-0.003973907727653493,True
idrid,102,0.6015833901326483,0.6661646295545386,0.06458123942189031,-0.10057037156040206,0.25327779580218573,False
eyepacs,5268,0.7186712405488658,0.4071809028247061,-0.3114903377241597,-0.33788365277218757,-0.28516103606998444,True
