target,in_domain_qwk,in_domain_qwk_sd,lodo_qwk_mean,lodo_qwk_sd,n_seeds,paired_seeds,in_domain_seeds,delta_qwk,delta_qwk_sd,ci_lower,ci_upper,exceeds_seed_sd,ci_excludes_zero,verdict
ddr,0.8702349002440778,0.008573465846066513,0.7326765546382944,0.0037699205152594163,3,"1,2,42",3,-0.1375583456057834,0.011942890729685953,-0.1760364868261774,-0.09537961233873435,True,True,REAL (both bars)
aptos,0.9084686535954369,0.009674174785211662,0.8624742072243249,0.010282415820399968,3,"1,2,42",3,-0.04599444637111202,0.012659559422689823,-0.10018443703345978,0.0035192696839303236,True,False,CI spans zero
idrid,0.5846266440898874,0.019115937711436902,0.680344454447451,0.05040115684266665,3,"1,2,42",3,0.09571781035756359,0.06947816328817752,-0.16296734543733155,0.3660797052835465,True,False,CI spans zero
eyepacs,0.7062821023872287,0.013937153137694683,0.4153081179253611,0.008165879157004521,3,"1,2,42",3,-0.29097398446186745,0.020189693008007374,-0.3305287701202134,-0.23752809223702326,True,True,REAL (both bars)
