target,n,dn_s42,dn_3seed_mean,dn_seed_sd,convnext_s42,delta_vs_s42,delta_over_dn_sd,ci_lower,ci_upper,p,excl_zero,dn_ece_s42,cn_ece,dn_ece_T,cn_ece_T,dn_severe,cn_severe
ddr,12424,0.7333719908664899,0.7383170544314274,0.005512340792173314,0.7579602275745819,0.02458823670809207,4.460579930581148,0.01527106357054722,0.03425108957687665,0.0,True,0.1382997147400192,0.1309857238055376,0.0551025703114159,0.0571124211881372,0.166613007083065,0.1500321957501609
aptos,3504,0.8590853269535972,0.8590415399785784,0.005352701548457594,0.8657165482949256,0.0066312213413284304,1.238855049416915,-0.003873356874906146,0.017285884398960966,0.2252,False,0.1081529335102739,0.1936342395976028,0.0405592666053393,0.0842574067633652,0.0619292237442922,0.0607876712328767
idrid,507,0.7542569817218183,0.7413293932834902,0.02442758377910206,0.7796524412789227,0.025395459557104427,1.0396222478143904,-0.018454915649499,0.07032707578758372,0.2452,False,0.215886190887574,0.2056737876134122,0.1046968612700632,0.1180310958038709,0.1163708086785009,0.1025641025641025
eyepacs,35108,0.4077128272289569,0.41473497139014315,0.008137345028246569,0.4662426315795991,0.0585298043506422,7.192739664776655,0.05079929015739821,0.06617109923393158,0.0,True,0.2887057353742737,0.3009630061162698,0.180069118554337,0.165461405991307,0.2453571835479093,0.2122023470434089
