target,method,seed,n_train,n_test,source_qwk,target_qwk,source_f1,target_f1,source_ece,target_ece,target_ece_scaled,target_severe,seconds,status,delta_qwk,delta_ece
ddr,erm,42,27718,12424,0.7519659477474597,0.7333719908664899,0.5555501242697755,0.5082638640995095,0.0773331734870381,0.1382997147618995,0.0551025702884811,0.166613007083065,2288.3,COMPLETE,-0.018593956880969875,0.06096654127486141
aptos,erm,42,33606,3504,0.7965999990354998,0.8590853269535972,0.5941207407379526,0.504712223736574,0.0455264896920051,0.1081529336313815,0.0405592666353378,0.0619292237442922,2317.3,COMPLETE,0.062485327918097355,0.06262644393937639
idrid,erm,42,36080,507,0.8017330221804433,0.7542569817218183,0.5859010958304915,0.4898948035878741,0.0741734978736915,0.2158861910332825,0.1046968612276976,0.1163708086785009,2945.6,COMPLETE,-0.04747604045862497,0.141712693159591
eyepacs,erm,42,11841,35108,0.8909346510496002,0.4077128272289569,0.6836941700110377,0.3757747621954475,0.0818861570791955,0.2887057354216412,0.1800691181943151,0.2453571835479093,828.9,COMPLETE,-0.4832218238206433,0.2068195783424457
