artifact,role,size_bytes,sha256,source_run,required_for
scripts\analyse_full_finetune.py,analysis script,15412,fd79cbbe4ca7ecce5325d7c294f70311d9e60f95d93b1a46ea95f2920dcf9278,(code),regenerates the tables and figures
scripts\analyse_ft_source_validation.py,analysis script,9349,9ba4795ec4c5163da18e3f04527de19c371c86237baba0ba527b6c1a6368a2e7,(code),regenerates the tables and figures
scripts\analyse_ft_convergence.py,analysis script,7112,970f1c7dcaba6903fb11ff4a567831e3739f9302f43c1ba3a9f02aa6df90fd3a,(code),regenerates the tables and figures
scripts\export_jbhi_tables.py,analysis script,19178,f9c95f9b035d85cdcc50dd6ecc2766f7f10ae9a63aa2627bb64c8eef49faa340,(code),regenerates the tables and figures
scripts\export_claim_evidence_map.py,analysis script,14496,13bc75293bdd8bd324df7ec759ec085a0477ec65761d279d83f920276b804778,(code),regenerates the tables and figures
scripts\export_referable_dr_secondary.py,analysis script,9397,d380066f123444fd456ea3e02a4700062d339877b0be1137ab94f114a1f24a88,(code),regenerates the tables and figures
scripts\export_evidence_freeze.py,analysis script,10014,bdc4f3ca2d3c7ae535cfaa842a4cd56bd6cc33c9cc376280527bb7d562e2ccf8,(code),regenerates the tables and figures
scripts\export_figure_provenance.py,analysis script,8411,f75bc2cceb0104cb5d0c0901d7f320037e737c97f5eb869c2efbbf159c1fe813,(code),regenerates the tables and figures
scripts\make_jbhi_figures.py,analysis script,20497,f0b9673debf0afbebf8b85c3c04c97b07f2d8d0101aafe50234b4f41f2b5ec6a,(code),regenerates the tables and figures
scripts\make_jbhi_supplement_figures.py,analysis script,22078,874243dc18613ead2b14f38747c81c1b4f1df5ff258d6e3a43c8c00edb576e2c,(code),regenerates the tables and figures
scripts\audit_consistency.py,analysis script,24777,6a43c6bce4a9be8a82cee1a0e49b2418ad5eabe808349d184370f9e547266944,(code),regenerates the tables and figures
scripts\audit_resumed_runs.py,analysis script,13802,3c39741dc1f619122c3bab7006852921599bbf02459921181710866be6f814d6,(code),regenerates the tables and figures
scripts\audit_experiment_identity.py,analysis script,8333,bb5d0af2d1962529c380102a292d5019ac0af169507c725618750baa8aef4c9b,(code),regenerates the tables and figures
requirements.txt,environment,2456,b44a93324bc8b338643fc11e431c4230185fb38cc03bd42fdacc66f85a019036,(code),dependency pinning
