artifact,role,size_bytes,sha256,source_run,required_for
predictions\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-tb4-lr0.0001_s1__target_test[ddr]_predictions.csv,predictions,2395751,247c7c5efb0927f1c3cb778caa874e55ec5d9e248e6f0675b6ca29cdfbc019c6,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-tb4-lr0.0001_s1,master results; adaptation depth
configs\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-tb4-lr0.0001_s1_evaluation.json,config/report,9427,55a4eeb6f19c6994527d09b9ce920eaff8360f82760c216c2d9d3c6b94b8e978,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-tb4-lr0.0001_s1,"temperature, config, recorded metrics"
predictions\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-tb4-lr0.0001_s2__target_test[ddr]_predictions.csv,predictions,2387909,4275dd4ce81dd45c1f26a1f918502c37356d0e211e3c9da88be7be8a5e6f7b35,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-tb4-lr0.0001_s2,master results; adaptation depth
configs\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-tb4-lr0.0001_s2_evaluation.json,config/report,9411,03737b4a426f6f303598f6dd10d69a3f1e65e462e0516d3a781e1f1c3b4cacd6,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-tb4-lr0.0001_s2,"temperature, config, recorded metrics"
predictions\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-tb4-lr0.0001_s3__target_test[ddr]_predictions.csv,predictions,2394015,785b2d2eaecbb2b352997ef2c0ac95644f560f08982338406cb13cd5a1f268af,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-tb4-lr0.0001_s3,master results; adaptation depth
configs\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-tb4-lr0.0001_s3_evaluation.json,config/report,9400,ca6123709868a9cdac5d1881ca894af728ff18a6a987a44f1493533b11964a26,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-tb4-lr0.0001_s3,"temperature, config, recorded metrics"
predictions\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-tb4-lr0.0001_s4__target_test[ddr]_predictions.csv,predictions,2394948,e9c73e1008ee2b8188543f3385e69d10a0174013d98596a847d727a86aaa5b30,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-tb4-lr0.0001_s4,master results; adaptation depth
configs\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-tb4-lr0.0001_s4_evaluation.json,config/report,9396,1a9021052592b6c029374d7f4ceb1c8e5d1a3bf776661519d70d721f46c7f0c8,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-tb4-lr0.0001_s4,"temperature, config, recorded metrics"
predictions\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s42__target_test[ddr]_predictions.csv,predictions,2386198,37cfad723e4399fd8d8091abf722db20331bbde13dd5d74443d3540c0c44fa1d,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s42,primary interaction; master results; full-FT comparison; referable-DR secondary
configs\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s42_evaluation.json,config/report,9409,bf2d37d602636f9b54471c7b0d7730c3eb16405b1d551deb92d35baf58679ecb,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s42,"temperature, config, recorded metrics"
histories\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s42_history.csv,source-validation history,3015,c6fa8a736d3d4cbcf7b3967547738ca7ef5651a24dae5982867965867f894c0f,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s42,"source-validation tables; figures S1, fig4 context"
predictions\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s1__target_test[ddr]_predictions.csv,predictions,2365304,5d750b113de2093657badfd1bc0994947beba6904473de1c78c10f8caf65b96e,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s1,primary interaction; master results; full-FT comparison; referable-DR secondary
configs\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s1_evaluation.json,config/report,9404,ce1f004840fa9ab9aeeb95e9641d448408a8c7405c78607569fb97fe769f1a1f,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s1,"temperature, config, recorded metrics"
histories\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s1_history.csv,source-validation history,3001,011b4316dbdf0412a0b18cb84a09d438a68345d77490e43ac07850aceb2e4c67,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s1,"source-validation tables; figures S1, fig4 context"
predictions\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s2__target_test[ddr]_predictions.csv,predictions,2387900,71d2edfb46dc85b07b4a2d7a22e1d37737bc195603af5f3c00df2b86209e6588,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s2,primary interaction; master results; full-FT comparison; referable-DR secondary
configs\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s2_evaluation.json,config/report,9444,67d407bbcbd13bc6cc72b50bebe2ab44ac8eb525d9505931178eb90f35b84e4a,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s2,"temperature, config, recorded metrics"
histories\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s2_history.csv,source-validation history,2989,3cf501e22a01dc401f45a55d39e4f6c058615f06dc6cd92f041c4d0ea4fa5595,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s2,"source-validation tables; figures S1, fig4 context"
predictions\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s3__target_test[ddr]_predictions.csv,predictions,2391605,34f7063a850c6cc0c451abad958df7c8f918d254a766431d50a678601e96783c,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s3,primary interaction; master results; full-FT comparison; referable-DR secondary
configs\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s3_evaluation.json,config/report,9439,08654d94053066ed04cc40e9264ed420253dfbb02d7cb3e2cd347f17005831a0,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s3,"temperature, config, recorded metrics"
histories\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s3_history.csv,source-validation history,2950,60d4c427d3738bce1e4ecd31cee616e3cebb7e0e3269feb829067e957163fa24,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s3,"source-validation tables; figures S1, fig4 context"
predictions\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s4__target_test[ddr]_predictions.csv,predictions,2391956,052ecde243f12664a2f051ddbfe6f69e033c3d6adac50a0c5e85eefbf9f9300a,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s4,primary interaction; master results; full-FT comparison; referable-DR secondary
configs\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s4_evaluation.json,config/report,9440,44d73c33ca45d27169ac08e77589227ae2a77c4c66dc3e5021fb645855331c53,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s4,"temperature, config, recorded metrics"
histories\lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s4_history.csv,source-validation history,3011,2a6dc034042fa7fd05a3bccedd7639f7b5058570379e71c98fb8918c513d050a,lodo_aptos-eyepacs-idrid__ddr_vit-large-mae-in1k_erm-b16-ftfull-lr0.0001_s4,"source-validation tables; figures S1, fig4 context"
predictions\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s42__target_test[ddr]_predictions.csv,predictions,2406894,d510fac59f7d0e16c582454dd76b7a7081cafb81add56764762a57ae31768bb2,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s42,primary interaction; master results; full-FT comparison; referable-DR secondary
configs\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s42_evaluation.json,config/report,9426,88eca5ac0ff88f703354fbd9224423cb577e657fb1579d2dca02226c58b0bc02,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s42,"temperature, config, recorded metrics"
histories\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s42_history.csv,source-validation history,2579,33f1ed8d7cb00785887a1b113dc359f14e98cba2cf78564cfac690b2a8ee13aa,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s42,"source-validation tables; figures S1, fig4 context"
predictions\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s1__target_test[ddr]_predictions.csv,predictions,2375753,397c2216f37621951dd3121cca66cb38c3250b41e33f610f5d578293c84011e2,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s1,primary interaction; master results; full-FT comparison; referable-DR secondary
configs\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s1_evaluation.json,config/report,9420,2458efba30f81f7c32402c70f5e49ed430b662e7f561974bc496af8c06ba3ccf,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s1,"temperature, config, recorded metrics"
histories\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s1_history.csv,source-validation history,1984,41bc6e75fa7225dd4d752057a2be8d123f0a0dc85bf8824281e61a2c8538e926,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s1,"source-validation tables; figures S1, fig4 context"
predictions\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s2__target_test[ddr]_predictions.csv,predictions,2400077,8635e42606aebf8251ad291d4e5c6620f5571c8c44a270feb24bdafec234d6e7,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s2,primary interaction; master results; full-FT comparison; referable-DR secondary
configs\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s2_evaluation.json,config/report,9415,eb12031aca688a014a0cc53eeb8f51c91a9b35097c6f7c6bc3dd9f234351d303,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s2,"temperature, config, recorded metrics"
histories\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s2_history.csv,source-validation history,2438,7a4521eb5c83345ddbbf357fc8cab7f47002c4b567dbbe9a85489fd2de657780,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s2,"source-validation tables; figures S1, fig4 context"
predictions\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s3__target_test[ddr]_predictions.csv,predictions,2407283,a65e179fc2ac4ec2420d70a035585f2943213c6d9440e435118cfbdc44202376,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s3,primary interaction; master results; full-FT comparison; referable-DR secondary
configs\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s3_evaluation.json,config/report,9440,5989ea53c7b685bdb188d2d43b1a3c9632283f0d34445bab9f22e88c2ba6509e,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s3,"temperature, config, recorded metrics"
histories\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s3_history.csv,source-validation history,2570,06008f897e8d8a6cfc2861d5c083df418a059098e48f85d4054a5978f9126173,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s3,"source-validation tables; figures S1, fig4 context"
predictions\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s4__target_test[ddr]_predictions.csv,predictions,2386316,46d63ea139fff155e3b0e3dac552991b5e0c7554a04a3257a5b811e858b1b529,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s4,primary interaction; master results; full-FT comparison; referable-DR secondary
configs\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s4_evaluation.json,config/report,9443,7ca1a864fb0febc5c6309660ed3ce68c5053eaa75a279eaf6be01218291867a8,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s4,"temperature, config, recorded metrics"
histories\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s4_history.csv,source-validation history,2292,9f3a7041e20fa0283e5b711fa45f7bd96cf52b6d7cf703d6c361a3360cc955c5,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_erm-b16-ftfull-lr0.0001_s4,"source-validation tables; figures S1, fig4 context"
predictions\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s42__target_test[aptos]_predictions.csv,predictions,686141,85b13c10d9f6fb7a3b1fdab0f0fc79e2fbf487bd024b8644894102c8e14e27de,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s42,primary interaction; master results; referable-DR secondary
configs\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s42_evaluation.json,config/report,9083,b607cedb19e32ba84bdf37335953985b7fbb4e28d7bc898e2a0a8776b4753783,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s42,"temperature, config, recorded metrics"
predictions\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s1__target_test[aptos]_predictions.csv,predictions,686183,709cb38175f4fce3708ccd1c570dff635b68d173b03bf0df319415cdf4284c42,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s1,primary interaction; master results; referable-DR secondary
configs\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s1_evaluation.json,config/report,9103,9ed557313831c26d8f249a56a1b52af6c2878f7a5742390418d60bd6f42ad78d,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s1,"temperature, config, recorded metrics"
predictions\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s2__target_test[aptos]_predictions.csv,predictions,686473,ad55353db455abee2e27506765accaa4b11ff68e90a591225fe19dee88a17fb8,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s2,primary interaction; master results; referable-DR secondary
configs\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s2_evaluation.json,config/report,9093,e546f46a8a503dae6b9705aafd2900927f7e5e6de0324b4c13fd3bdb95e0466d,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s2,"temperature, config, recorded metrics"
predictions\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s3__target_test[aptos]_predictions.csv,predictions,685731,2ebfc034f458c1de039dd5d9db048051abb870c74a9222bb5bfd86dcdae56cfa,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s3,primary interaction; master results; referable-DR secondary
configs\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s3_evaluation.json,config/report,9089,1d40857bb2860a80cd09899d043171c71a6835526333b2fc62c3b70163547177,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s3,"temperature, config, recorded metrics"
predictions\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s4__target_test[aptos]_predictions.csv,predictions,687949,a237ed8c6ba5ec52726bfe99f63e45e96a2bdab73c805220200602ea2759ff22,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s4,primary interaction; master results; referable-DR secondary
configs\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s4_evaluation.json,config/report,9078,fcb38b8e0b09596a710f54cdd50fe0df161d57814bd01ce6a1b6cf0e552efd00,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s4,"temperature, config, recorded metrics"
predictions\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s5__target_test[aptos]_predictions.csv,predictions,685416,8958b1c4e06daa2cb2ec36a39860e7fb60bacc71fa78c2044c76b895ed9f6139,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s5,primary interaction; master results; referable-DR secondary
configs\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s5_evaluation.json,config/report,9105,da2990a6fb4901d2db99ac7e57bb079ba0f58157955a537eed662908eaacd2e5,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s5,"temperature, config, recorded metrics"
predictions\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s6__target_test[aptos]_predictions.csv,predictions,685552,21a21ac79d680ca2ef6dc3f3082cb11ffd23bf4f335216643aff00bebb7d5fe1,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s6,primary interaction; master results; referable-DR secondary
configs\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s6_evaluation.json,config/report,9126,80c2cf1da38d2f2fbdb0c888782ff554e1a8fa4edf294a983f889fb0c3c06fcc,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s6,"temperature, config, recorded metrics"
predictions\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s7__target_test[aptos]_predictions.csv,predictions,684306,e74beda4dca0c05cc06519075bdc2a6bb5af3db4b74d6d505b83616fcf668afe,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s7,primary interaction; master results; referable-DR secondary
configs\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s7_evaluation.json,config/report,9106,6e46fb18460bc293efb8e2af2f97e0fc2b96530758b0445753330be675f6ab4f,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s7,"temperature, config, recorded metrics"
predictions\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s8__target_test[aptos]_predictions.csv,predictions,687154,ece22e494607c0a6c60eb625697b27533a3bfe48b90ffa632f9eea8406b39fca,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s8,primary interaction; master results; referable-DR secondary
configs\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s8_evaluation.json,config/report,9094,8f73132b5767bf62f92ce0d98293617a6ddd0407d9c81799d99cc3062b994b98,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s8,"temperature, config, recorded metrics"
predictions\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s9__target_test[aptos]_predictions.csv,predictions,687354,ed1e4523c4898c7ba2948714244a1c612e9a4d7fb5bc7533e310ef7fe2b3feb8,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s9,primary interaction; master results; referable-DR secondary
configs\lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s9_evaluation.json,config/report,9118,2433506d7a8982bc9d51404626119e2f822e1cb2f4bdeca544cd7c0cb27be2c0,lodo_ddr-eyepacs-idrid__aptos_vit-large-mae-in1k_linprobe-b256_s9,"temperature, config, recorded metrics"
predictions\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s42__target_test[aptos]_predictions.csv,predictions,687658,e9178c1db3aa178d20b1edec6f0c003f37916e07bfc7a0cd5c7ca45b14fd1257,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s42,primary interaction; master results; referable-DR secondary
configs\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s42_evaluation.json,config/report,9175,e3c1afb68088e5c6a6f0c1f6b9ce01fe08aa5e3d94e35d88f345186c82a1e9d4,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s42,"temperature, config, recorded metrics"
predictions\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s1__target_test[aptos]_predictions.csv,predictions,687401,88227723f779e2ec13dc76b61e124272b70ff3b52c4b2ce8c162cdbf74e28b3d,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s1,primary interaction; master results; referable-DR secondary
configs\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s1_evaluation.json,config/report,9199,1d227fc2e412dd9698c3f579b8d370aaaf844334afb02362f64004a3520a632c,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s1,"temperature, config, recorded metrics"
predictions\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s2__target_test[aptos]_predictions.csv,predictions,688077,f99e5fe9d5dc903d25711a2e0febb3a39c2452accfdd657cb8a84509434a986d,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s2,primary interaction; master results; referable-DR secondary
configs\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s2_evaluation.json,config/report,9117,862291549b9140f1dd50caa44673b2578f9a3eba526a22c61e39d19117f47424,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s2,"temperature, config, recorded metrics"
predictions\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s3__target_test[aptos]_predictions.csv,predictions,688762,1d9d6bbba9bb461c4ecf1a53dcdf097ea39a4e9baf1e41b572f0f7c1fd0260fa,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s3,primary interaction; master results; referable-DR secondary
configs\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s3_evaluation.json,config/report,9189,ff376d08d65306f094a2ccef7542e7c2f27e2aae6c5632f8e89d0b110fccdc9b,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s3,"temperature, config, recorded metrics"
predictions\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s4__target_test[aptos]_predictions.csv,predictions,687059,96e52732efab7040247f0eb7c465fde384714d0cc937e525c7be832dc2077763,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s4,primary interaction; master results; referable-DR secondary
configs\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s4_evaluation.json,config/report,9138,1b49109e6cecb764eb0fb1eccad2f1772f1e86bc08296276b297109ac9562b50,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s4,"temperature, config, recorded metrics"
predictions\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s5__target_test[aptos]_predictions.csv,predictions,687463,63a8dc59530663333541e7762fedc0bff429c1a4c57d3815147085c6c3ca0f3e,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s5,primary interaction; master results; referable-DR secondary
configs\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s5_evaluation.json,config/report,9152,25a77cd4afcb3bfb4b40c28303bc55dec5ea8477cc5a9edcf7086112d2485769,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s5,"temperature, config, recorded metrics"
predictions\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s6__target_test[aptos]_predictions.csv,predictions,687102,ee8554846091dca4453d0d0121beb1c666eca8dc82d6600aff77093a0c414ace,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s6,primary interaction; master results; referable-DR secondary
configs\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s6_evaluation.json,config/report,9180,9023ff8a8c4c07408c8ecaeacebab3cbe8d3ef88d2a3d1a65633a7c0cc9aee1a,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s6,"temperature, config, recorded metrics"
predictions\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s7__target_test[aptos]_predictions.csv,predictions,686665,ff9e551b0a122376d7b6cab88d72987e7ef4e16bc165b3e4d05bcc9b81412e8d,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s7,primary interaction; master results; referable-DR secondary
configs\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s7_evaluation.json,config/report,9179,164816e916158967215401c92652774ade5e62ef7829d8dfb07cdf3ff7c2ef43,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s7,"temperature, config, recorded metrics"
predictions\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s8__target_test[aptos]_predictions.csv,predictions,687479,bd219644144cc2a3c900c53a9fe0700533e08fbd10f7d95edcd3f70763e14bda,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s8,primary interaction; master results; referable-DR secondary
configs\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s8_evaluation.json,config/report,9138,87806e1c30dd12827fbecd35b0121844c4d52e4cfceb4c427db8178b2d8bb78e,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s8,"temperature, config, recorded metrics"
predictions\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s9__target_test[aptos]_predictions.csv,predictions,688071,90546d96e18cb5142298090cc85faaa66e0bdb9bf3fb6ebe8456498e465df323,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s9,primary interaction; master results; referable-DR secondary
configs\lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s9_evaluation.json,config/report,9206,44cc3530ad28e7ae26b7b1f7c4c5a63c99aa6a9fd00a797b39b056be586da09f,lodo_ddr-eyepacs-idrid__aptos_retfound-cfp_linprobe-b256_s9,"temperature, config, recorded metrics"
