epoch,train_loss,val_loss,val_qwk,val_f1_macro,val_accuracy,learning_rate,grad_norm,seconds,peak_vram_gb,auxiliary_loss
2,0.6199404172021111,0.7341581938142152,0.691552373075671,0.45349095834007935,0.7846627408993576,0.0001,inf,399.1,2.13,0.0
3,0.6182894234580634,0.6575078035702797,0.6809525411156268,0.45321351380816816,0.7813169164882227,9.932488451843476e-05,inf,389.2,2.13,0.0
4,0.60415141433147,0.6297134202556003,0.7413035915454658,0.5427896770653252,0.7894807280513919,9.73179534641814e-05,inf,389.3,2.13,0.0
5,0.5800019950632774,0.6183386295395694,0.7250951156266024,0.5116075948397902,0.7906852248394004,9.403395068472121e-05,inf,403.4,2.13,0.0
6,0.5611465387062857,0.6295634030545932,0.7192594195846288,0.5092191290246761,0.7947002141327623,8.956245521512149e-05,inf,412.5,2.13,0.0
7,0.5416847181227677,0.6012548700621156,0.7478921101433575,0.5443097827061074,0.8024625267665952,8.40254377954742e-05,inf,401.4,2.13,0.0
8,0.5185893463553187,0.6353977823707752,0.7488006048623337,0.5538627732700994,0.7876070663811563,7.757393382706014e-05,inf,404.3,2.13,0.0
9,0.4942076477021838,0.6272762581722001,0.7418424301253181,0.5406348416324623,0.8038008565310493,7.0383923520322e-05,inf,394.9,2.13,0.0
10,0.4659107892449838,0.6309384024229371,0.7480975594296075,0.5651466483000966,0.8029978586723768,6.265153161346956e-05,inf,393.9,2.13,0.0
11,0.44196371616353747,0.6642593096351407,0.7490203597653551,0.5499028827565897,0.7995182012847966,5.458767760088046e-05,inf,395.1,2.13,0.0
12,0.41212233731031683,0.6703466402109497,0.7462841651453074,0.5349842493736736,0.8001873661670236,4.6412322399119556e-05,inf,399.9,2.13,0.0
13,0.3833229978174434,0.6777508184428445,0.7531722330073766,0.5603547072397697,0.8008565310492506,3.834846838653045e-05,inf,399.4,2.13,0.0
14,0.36057749172866743,0.7506714514830615,0.7465810924856999,0.5470815905956921,0.7977783725910065,3.0616076479678025e-05,inf,394.8,2.13,0.0
15,0.3305309379750041,0.8022036919406689,0.7527654647488152,0.5517910408925,0.798313704496788,2.3426066172939882e-05,inf,395.1,2.13,0.0
16,0.308806209045642,0.8210143020231481,0.7482645009904751,0.5609923694119076,0.7964400428265525,1.697456220452583e-05,inf,394.6,2.13,0.0
17,0.282206886930767,0.8840974960543466,0.7474288435792045,0.5565918252555265,0.7949678800856531,1.1437544784878524e-05,inf,387.4,2.13,0.0
18,0.2707290110006895,0.9176409333222396,0.7468649644007692,0.5633158122974723,0.7884100642398287,6.966049315278797e-06,inf,386.9,2.13,0.0
19,0.2513700216023578,0.9310089982667145,0.7493296537170373,0.5604843428713593,0.7908190578158458,3.6820465358185853e-06,inf,386.6,2.13,0.0
